id,nr_employees,nr_closed_cubicles,nr_meeting_room_total_occupancy,industry,city,sqm_social_zones,sqm_net_area
0,31,6,6,tech,Oslo,77,231
1,60,13,17,tech,Bergen,177,448
2,35,8,7,tech,Trondheim,90,423
3,167,90,40,finance,Oslo,617,2947
4,51,28,10,finance,Bergen,145,772
5,25,12,5,finance,Trondheim,58,319
6,0,0,0,finance,Oslo,0,0
7,95,100000,100000,finance,Oslo,100000,1337
8,9,0,4,tech,Trondheim,50,50
9,250,100,80,tech,Oslo,500,2500
10,49,11,9,tech,Oslo,138,892
11,115,30,20,tech,Oslo,394,1892
12,78,19,16,tech,Oslo,245,1247
13,54,12,11,tech,Oslo,155,878
14,90,23,21,tech,Oslo,292,1385
15,32,6,5,tech,Oslo,80,482
16,30,6,5,tech,Oslo,74,350
17,101,26,23,tech,Oslo,336,1942
18,46,10,11,tech,Oslo,127,842
19,31,6,6,tech,Oslo,77,381
20,66,15,12,tech,Oslo,199,842
21,107,28,23,tech,Oslo,361,2177
22,100,26,20,tech,Oslo,332,1865
23,115,30,23,tech,Oslo,394,1613
24,119,32,21,tech,Oslo,410,1895
25,109,28,24,tech,Oslo,369,1913
26,92,23,16,tech,Oslo,300,1621
27,42,9,9,tech,Oslo,113,741
28,50,11,10,tech,Oslo,141,771
29,107,28,25,tech,Oslo,361,2195
30,30,6,5,tech,Oslo,74,408
31,68,16,15,tech,Oslo,207,1104
32,99,25,20,tech,Oslo,328,1395
33,50,11,9,tech,Oslo,141,717
34,113,30,25,tech,Oslo,385,2004
35,51,11,13,tech,Oslo,145,719
36,115,30,23,tech,Oslo,394,2016
37,76,18,15,tech,Oslo,237,1201
38,113,30,27,tech,Oslo,385,1636
39,119,32,23,tech,Oslo,410,2036
40,40,8,7,tech,Oslo,106,672
41,89,22,20,tech,Oslo,288,1309
42,85,21,15,tech,Oslo,272,1187
43,38,8,7,tech,Oslo,100,620
44,99,25,20,tech,Oslo,328,1684
45,65,15,13,tech,Oslo,196,1067
46,107,28,21,tech,Oslo,361,1935
47,78,19,15,tech,Oslo,245,1174
48,70,17,12,tech,Oslo,215,1266
49,119,32,25,tech,Oslo,410,1692
50,32,6,6,tech,Oslo,80,441
51,30,6,6,tech,Oslo,74,344
52,32,6,6,tech,Oslo,80,415
53,78,19,18,tech,Oslo,245,1104
54,34,7,8,tech,Oslo,86,478
55,84,21,14,tech,Oslo,268,1446
56,70,17,13,tech,Oslo,215,1036
57,92,23,21,tech,Oslo,300,1411
58,97,25,20,tech,Oslo,320,1622
59,70,17,15,tech,Oslo,215,982
60,68,16,12,tech,Oslo,207,1200
61,49,11,8,tech,Oslo,138,852
62,68,16,14,tech,Oslo,207,919
63,72,17,13,tech,Oslo,222,1027
64,34,7,6,tech,Oslo,86,395
65,109,28,22,tech,Oslo,369,1537
66,60,14,14,tech,Oslo,177,934
67,68,16,12,tech,Oslo,207,993
