id,nr_employees,nr_closed_cubicles,nr_meeting_room_total_occupancy,industry,city,sqm_social_zones,sqm_net_area
0,81,20,20,tech,Oslo,257,1095
1,21,6,5,tech,Bergen,46,262
2,40,11,10,tech,Trondheim,106,520
3,81,56,17,finance,Oslo,257,1162
4,75,52,14,finance,Bergen,234,1549
5,62,37,13,finance,Trondheim,185,1140
6,0,0,0,finance,Oslo,0,0
7,95,100000,100000,finance,Oslo,100000,1337
8,9,0,4,tech,Trondheim,50,50
9,250,100,80,tech,Oslo,500,2500
10,117,31,26,tech,Oslo,402,1573
11,92,23,17,tech,Oslo,300,1423
12,80,20,17,tech,Oslo,253,1056
13,87,22,21,tech,Oslo,280,1020
14,100,26,21,tech,Oslo,332,1135
15,54,12,10,tech,Oslo,155,551
16,68,16,16,tech,Oslo,207,776
17,31,6,7,tech,Oslo,77,360
18,98,25,22,tech,Oslo,324,1464
19,98,25,22,tech,Oslo,324,1571
20,52,11,9,tech,Oslo,148,460
21,65,15,11,tech,Oslo,196,621
22,42,9,10,tech,Oslo,113,474
23,54,12,13,tech,Oslo,155,681
24,60,14,14,tech,Oslo,177,859
25,105,27,25,tech,Oslo,352,1579
26,67,16,12,tech,Oslo,203,694
27,78,19,14,tech,Oslo,245,1104
28,70,17,16,tech,Oslo,215,795
29,91,23,19,tech,Oslo,296,1418
30,112,29,27,tech,Oslo,381,1777
31,57,13,10,tech,Oslo,166,647
32,36,7,8,tech,Oslo,93,380
33,94,24,21,tech,Oslo,308,1199
34,117,31,29,tech,Oslo,402,1532
35,114,30,21,tech,Oslo,389,1610
36,52,11,11,tech,Oslo,148,478
37,108,28,24,tech,Oslo,365,1619
38,45,10,8,tech,Oslo,124,504
39,116,31,26,tech,Oslo,398,1644
40,85,21,18,tech,Oslo,272,1202
41,50,11,12,tech,Oslo,141,508
42,83,20,20,tech,Oslo,265,1295
43,45,10,8,tech,Oslo,124,484
44,69,16,13,tech,Oslo,211,821
45,59,13,10,tech,Oslo,174,547
46,109,28,19,tech,Oslo,369,1463
47,91,23,18,tech,Oslo,296,1419
48,65,15,13,tech,Oslo,196,690
49,45,10,8,tech,Oslo,124,446
50,60,14,15,tech,Oslo,177,684
51,32,6,8,tech,Oslo,80,325
52,92,23,21,tech,Oslo,300,994
53,51,11,11,tech,Oslo,145,672
54,83,20,19,tech,Oslo,265,1024
55,76,18,18,tech,Oslo,237,960
