id,nr_employees,nr_closed_cubicles,nr_meeting_room_total_occupancy,industry,city,sqm_social_zones,sqm_net_area
2,29,6,6,tech,Trondheim,65,637.14
3,81,33,23,finance,Oslo,125,1123.4
4,44,21,13,finance,Bergen,176,1212.12
5,29,16,8,finance,Trondheim,80,601.02
6,0,0,0,finance,Oslo,0,0
7,95,100000,100000,finance,Oslo,100000,1337
8,9,0,4,tech,Trondheim,50,50
9,250,100,80,tech,Oslo,500,2500
10,103,31,22,tech,Oslo,183,1825.2
11,83,21,22,tech,Oslo,177,1272.6
12,66,18,19,tech,Oslo,137,1071.2
13,118,35,24,tech,Oslo,230,2017.8
14,53,11,11,tech,Oslo,80,780
15,97,21,26,tech,Oslo,187,1396.8
16,73,20,21,tech,Oslo,162,1128.6
17,47,10,13,tech,Oslo,69,686
18,90,23,25,tech,Oslo,159,1117.8
19,30,7,8,tech,Oslo,54,400.5
20,96,22,22,tech,Oslo,138,1190
21,74,21,18,tech,Oslo,95,915.3
22,93,23,22,tech,Oslo,168,1255.8
23,30,8,7,tech,Oslo,54,513
24,114,28,24,tech,Oslo,199,1643.4
25,42,10,12,tech,Oslo,100,704
26,55,13,16,tech,Oslo,79,722.4
27,39,8,12,tech,Oslo,75,548.7
28,94,23,23,tech,Oslo,191,1414
29,31,7,6,tech,Oslo,57,488.4
30,83,22,18,tech,Oslo,114,1045.5
31,35,8,8,tech,Oslo,73,494.7
32,35,10,10,tech,Oslo,81,561
33,70,14,16,tech,Oslo,124,920
34,53,14,11,tech,Oslo,104,702
35,52,13,15,tech,Oslo,110,824
36,118,31,25,tech,Oslo,215,1444.2
37,85,21,26,tech,Oslo,152,1478.4
38,88,25,18,tech,Oslo,145,1192.1
39,49,10,11,tech,Oslo,86,812
40,102,27,24,tech,Oslo,193,1300.5
41,51,11,13,tech,Oslo,96,757.5
42,94,20,21,tech,Oslo,181,1269
43,116,32,31,tech,Oslo,205,1843.7
44,35,9,8,tech,Oslo,57,535.6
45,79,21,18,tech,Oslo,159,1250.8
46,68,15,18,tech,Oslo,143,1060.5
47,54,16,12,tech,Oslo,111,967.6
48,96,22,22,tech,Oslo,235,1568
49,67,18,19,tech,Oslo,115,852.8
50,36,8,10,tech,Oslo,59,464.4
51,110,32,29,tech,Oslo,210,2052
52,109,28,24,tech,Oslo,183,1352.4
53,34,8,10,tech,Oslo,66,457.6
54,78,22,19,tech,Oslo,181,1368.5
55,33,7,8,tech,Oslo,55,547.2
56,95,27,23,tech,Oslo,139,1174.5
57,42,12,9,tech,Oslo,88,737.1
58,89,22,18,tech,Oslo,104,1044.9
59,107,23,24,tech,Oslo,148,1247.4
60,44,11,13,tech,Oslo,61,591.6
61,42,11,10,tech,Oslo,100,680.4
62,65,19,15,tech,Oslo,96,841.5
63,103,27,23,tech,Oslo,208,1530
64,95,26,23,tech,Oslo,143,1252.8
65,39,11,9,tech,Oslo,100,708
66,84,18,21,tech,Oslo,203,1402.2
